No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
340,21.3561,1171.331,1134.21,1133.894,30.25, ,4.8276,,37.121
341,21.3601,1174.71,1134.122,1133.806,30.25, ,4.8267,,40.588
342,21.3641,1150.913,1134.035,1133.717,30.25, ,4.8258,,16.878
343,21.3681,1176.289,1133.947,1133.629,30.25, ,4.8249,,42.342
344,21.3721,1153.867,1133.859,1133.541,30.25, ,4.824,,20.008
345,21.3761,1112.126,1133.772,1133.453,30.25, ,4.8231,,-21.646
346,21.3801,1138.135,1133.684,1133.365,30.25, ,4.8222,,4.451
347,21.3841,1118.33,1133.596,1133.276,30.25, ,4.8213,,-15.266
348,21.3881,1131.889,1133.508,1133.188,30.25, ,4.8205,,-1.619
349,21.3921,1133.819,1133.421,1133.1,30.25, ,4.8196,,0.398
350,21.3961,1129.786,1133.333,1133.012,30.25, ,4.8187,,-3.547
351,21.4001,1121.982,1133.245,1132.924,30.25, ,4.8178,,-11.263
352,21.4041,1148.268,1133.158,1132.835,30.25, ,4.8169,,15.11
353,21.4081,1178.764,1133.07,1132.747,30.25, ,4.816,,45.694
354,21.4121,1130.892,1132.982,1132.659,30.25, ,4.8151,,-2.09
355,21.4161,1093.806,1132.895,1132.571,30.25, ,4.8142,,-39.089
