No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings,,Error [cts]
304,21.2121,1214.014,1212.61,1212.338,30.25, ,4.86,,1.404
305,21.2161,1260.849,1212.547,1212.274,30.25, ,4.8591,,48.302
306,21.2201,1208.786,1212.484,1212.21,30.25, ,4.8582,,-3.698
307,21.2241,1215.488,1212.42,1212.146,30.25, ,4.8573,,3.068
308,21.2281,1228.346,1212.357,1212.082,30.25, ,4.8564,,15.989
309,21.2321,1198.37,1212.294,1212.018,30.25, ,4.8555,,-13.924
310,21.2361,1208.779,1212.231,1211.953,30.25, ,4.8546,,-3.452
311,21.2401,1216.851,1212.168,1211.889,30.25, ,4.8537,,4.683
312,21.2441,1231.389,1212.104,1211.825,30.25, ,4.8527,,19.285
313,21.2481,1135.328,1212.041,1211.761,30.25, ,4.8518,,-76.713
314,21.2521,1206.74,1211.978,1211.697,30.25, ,4.8509,,-5.238
315,21.2561,1242.123,1211.915,1211.633,30.25, ,4.85,,30.208
316,21.2601,1216.017,1211.852,1211.568,30.25, ,4.8491,,4.165
317,21.2641,1194.857,1211.789,1211.504,30.25, ,4.8482,,-16.932
318,21.2681,1204.454,1211.726,1211.44,30.25, ,4.8473,,-7.272
319,21.2721,1221.142,1211.662,1211.376,30.25, ,4.8464,,9.48
320,21.2761,1198.838,1211.599,1211.312,30.25, ,4.8455,,-12.761
321,21.2801,1179.226,1211.536,1211.248,30.25, ,4.8446,,-32.31
322,21.2841,1199.909,1211.473,1211.183,30.25, ,4.8437,,-11.564
323,21.2881,1186.67,1211.41,1211.119,30.25, ,4.8428,,-24.74
324,21.2921,1158.086,1211.347,1211.055,30.25, ,4.8419,,-53.261
325,21.2961,1207.047,1211.284,1210.991,30.25, ,4.841,,-4.237
326,21.3001,1245.236,1211.221,1210.927,30.25, ,4.8401,,34.015
327,21.3041,1269.351,1211.157,1210.863,30.25, ,4.8392,,58.194
328,21.3081,1232.164,1211.094,1210.798,30.25, ,4.8383,,21.07
329,21.3121,1277.949,1211.031,1210.734,30.25, ,4.8374,,66.918
330,21.3161,1150.609,1210.968,1210.67,30.25, ,4.8365,,-60.359
331,21.3201,1254.641,1210.905,1210.606,30.25, ,4.8357,,43.736
332,21.3241,1271.16,1210.842,1210.542,30.25, ,4.8348,,60.318
333,21.3281,1200.055,1210.779,1210.477,30.25, ,4.8339,,-10.724
334,21.3321,1217.595,1210.716,1210.413,30.25, ,4.833,,6.879
335,21.3361,1199.117,1210.653,1210.349,30.25, ,4.8321,,-11.536
336,21.3401,1209.269,1210.59,1210.285,30.25, ,4.8312,,-1.321
337,21.3441,1166.425,1210.527,1210.221,30.25, ,4.8303,,-44.102
338,21.3481,1173.776,1210.464,1210.157,30.25, ,4.8294,,-36.688
339,21.3521,1223.262,1210.401,1210.092,30.25, ,4.8285,,12.861
340,21.3561,1204.506,1210.338,1210.028,30.25, ,4.8276,,-5.832
341,21.3601,1192.776,1210.275,1209.964,30.25, ,4.8267,,-17.499
342,21.3641,1232.019,1210.212,1209.9,30.25, ,4.8258,,21.807
343,21.3681,1232.699,1210.149,1209.836,30.25, ,4.8249,,22.55
344,21.3721,1217.657,1210.086,1209.772,30.25, ,4.824,,7.571
345,21.3761,1223.591,1210.023,1209.707,30.25, ,4.8231,,13.568
346,21.3801,1202.265,1209.96,1209.643,30.25, ,4.8222,,-7.695
347,21.3841,1220.308,1209.896,1209.579,30.25, ,4.8213,,10.412
348,21.3881,1218.588,1209.834,1209.515,30.25, ,4.8205,,8.754
349,21.3921,1164.31,1209.771,1209.451,30.25, ,4.8196,,-45.461
350,21.3961,1242.409,1209.708,1209.387,30.25, ,4.8187,,32.701
351,21.4001,1177.915,1209.645,1209.322,30.25, ,4.8178,,-31.73
352,21.4041,1234.875,1209.582,1209.258,30.25, ,4.8169,,25.293
353,21.4081,1213.981,1209.519,1209.194,30.25, ,4.816,,4.462
354,21.4121,1231.214,1209.456,1209.13,30.25, ,4.8151,,21.758
355,21.4161,1207.953,1209.393,1209.066,30.25, ,4.8142,,-1.44
